age,Number of Players In Age Group
37,1
36,1
35,1
34,2
33,8
32,6
31,16
30,22
29,19
28,27
27,53
26,59
25,111
24,108
23,90
22,111
21,124
20,83
19,74
18,52
17,30
16,7
15,1
