,age,matches,tournaments,wins,losses,winrate
1969,21,272,38,152,120,0.5588235294117647
1975,21,252,43,154,98,0.6111111111111112
1976,24,89,22,44,45,0.4943820224719101
1977,26,16,5,7,9,0.4375
1978,24,268,47,164,104,0.6119402985074627
1979,21,232,43,161,71,0.6939655172413793
1981,17,315,42,204,111,0.6476190476190476
1982,24,231,35,139,92,0.6017316017316018
1984,21,146,25,95,51,0.6506849315068494
1985,19,75,17,31,44,0.41333333333333333
1986,26,103,23,55,48,0.5339805825242718
1987,22,218,31,124,94,0.5688073394495413
1988,21,245,28,198,47,0.8081632653061225
1989,26,36,6,19,17,0.5277777777777778
1990,22,171,33,91,80,0.5321637426900585
1992,24,252,52,154,98,0.6111111111111112
1995,18,349,30,215,134,0.6160458452722063
2001,24,324,35,224,100,0.691358024691358
2004,24,194,24,125,69,0.6443298969072165
2005,21,143,20,97,46,0.6783216783216783
2006,20,323,39,221,102,0.6842105263157895
