,age,matches,tournaments,wins,losses,winrate
1696,17,93,20,41,52,0.44086021505376344
1697,19,132,19,82,50,0.6212121212121212
1698,20,158,22,111,47,0.7025316455696202
1700,24,260,34,172,88,0.6615384615384615
1701,21,169,20,93,76,0.5502958579881657
1703,19,54,12,36,18,0.6666666666666666
1705,21,65,14,48,17,0.7384615384615385
1707,25,242,32,124,118,0.512396694214876
1710,23,224,44,135,89,0.6026785714285714
1711,18,115,10,72,43,0.6260869565217392
1712,21,274,30,183,91,0.6678832116788321
1713,25,130,24,86,44,0.6615384615384615
1715,20,264,31,182,82,0.6893939393939394
1719,18,191,24,109,82,0.5706806282722513
1722,27,148,27,89,59,0.6013513513513513
1723,21,202,23,119,83,0.5891089108910891
1724,25,357,25,238,119,0.6666666666666666
1727,22,99,24,51,48,0.5151515151515151
1730,20,168,37,81,87,0.48214285714285715
1731,23,153,14,96,57,0.6274509803921569
1732,22,212,25,143,69,0.6745283018867925
1733,18,99,19,62,37,0.6262626262626263
1734,29,124,23,69,55,0.5564516129032258
1735,22,158,29,93,65,0.5886075949367089
1737,21,198,30,141,57,0.7121212121212122
1739,21,161,27,104,57,0.6459627329192547
1740,23,306,42,192,114,0.6274509803921569
1741,22,89,22,44,45,0.4943820224719101
1743,27,79,14,42,37,0.5316455696202531
1744,24,113,33,46,67,0.40707964601769914
1746,21,270,27,182,88,0.674074074074074
1747,21,92,20,38,54,0.41304347826086957
1749,21,40,8,27,13,0.675
1750,20,170,27,97,73,0.5705882352941176
1753,21,321,38,198,123,0.616822429906542
1758,21,216,22,166,50,0.7685185185185185
1762,22,286,42,174,112,0.6083916083916084
1763,23,169,26,94,75,0.5562130177514792
1765,18,140,26,78,62,0.5571428571428572
1770,20,208,38,116,92,0.5576923076923077
1772,28,190,32,105,85,0.5526315789473685
1774,26,240,47,135,105,0.5625
1775,23,221,33,104,117,0.47058823529411764
1776,20,105,31,65,40,0.6190476190476191
1778,22,159,24,97,62,0.610062893081761
1782,19,215,46,112,103,0.5209302325581395
1783,24,57,16,39,18,0.6842105263157895
1784,28,60,8,35,25,0.5833333333333334
1785,25,81,15,52,29,0.6419753086419753
